No,Index,ATS4i,P_EOE_VSA_10,ETA_dAlpha_B,GATS7se,GATS4i,MATS1i,BCUTp-1h,B07[O-O],logP,Series
1,Molecule1,0,0,0,0,0,-0.428571429,3.263621383,0,0.954242509,T
2,Molecule2,2.647923611,0,0,0,0,-0.266666667,3.427576376,0,1.707570176,T
3,Molecule3,3.653531566,0,0,0,1.21125,0,3.85875564,0,3.130333768,T
4,Molecule4,3.757989186,0,0.047619049,0,0.301424923,-0.364020303,3.550268878,0,2.681241237,T
5,Molecule5,3.829212538,0,0.041666668,0,0.47985966,-0.29953867,3.558847867,0,3.376576957,T
6,Molecule6,1.736237591,0,0.025,0,0.266022747,-0.236144649,3.427963659,0,2.361727836,T
7,Molecule7,3.156003148,0,0.02,0,0.11443589,-0.173542859,3.546061697,0,2.491361694,T
8,Molecule8,1.681738719,0,0.055555556,0,0,-0.276482698,3.263715466,0,0.720159303,T
10,Molecule10,0,0,0,0,0,-0.410383067,3.325485762,0,2.31386722,T
11,Molecule11,0,0,0,0,0,-0.397527708,3.38640026,0,0.84509804,T
12,Molecule12,0,23.54220399,0.142857149,0,0,-0.27749857,3.251087347,0,0.77815125,T
13,Molecule13,4.031981118,23.54220399,0.144345239,0.806892933,0.952392833,-0.18551599,3.515914196,0,1.127104798,T
14,Molecule14,0,11.771102,0.071428575,0,0,-0.218880608,3.317086749,0,-0.661543506,T
16,Molecule16,2.820932939,0,0,0,1.116120168,-0.177284772,3.571934566,0,2.834420704,T
18,Molecule18,0,0,0.083333336,0,0,-0.760793473,2.928447245,0,2.834420704,T
19,Molecule19,3.960067288,0,0.018518519,0,1.067925327,0.09145236,3.873076804,0,3.483587297,T
20,Molecule20,3.997753437,16.36348688,0.047619049,0.785878037,1.034057044,-0.029173118,3.873962719,1,2.053078443,T
21,Molecule21,3.893796806,0,0.06666667,0.014763192,0.879635896,0.027250213,3.608362574,1,3.772688355,T
22,Molecule22,0.899469143,0,0.125,0,0,-0.533243289,2.929711593,0,3.021189299,T
23,Molecule23,3.726931257,0,0.0625,1.574872861,0.863710493,-0.284701136,3.524887709,1,2.916453949,T
24,Molecule24,4.172517582,0,0.050000001,1.507952601,0.917768574,-0.194219033,3.615547308,1,2.916453949,T
25,Molecule25,4.237308754,0,0.069444448,0.957593889,1.175140426,-0.298352345,3.520505919,0,3.306425028,T
27,Molecule27,4.030615221,4.592384883,0.07692308,0.952741374,1.515092512,-0.454182414,3.42468321,0,3.989004616,T
28,Molecule28,3.873548297,0,0.006613757,0,1.058131414,0.014358288,4.437238769,0,4.205475037,T
29,Molecule29,3.979429308,23.19525185,0.033333335,1.825266685,0.894566572,0.046574297,3.617484491,0,-0.8569852,T
30,Molecule30,5.352836726,9.184769766,0.068627454,0.85388993,1.236574897,-0.245854002,3.730321194,1,3.615950052,T
31,Molecule31,5.416743556,0,0.106666669,1.095945498,1.255476372,0.410135316,3.729166939,1,3.673941999,T
33,Molecule33,2.694884579,0,0.0125,0,0.738636374,-0.118072325,3.64335965,0,2.806179974,T
34,Molecule34,3.404767357,0,0.01,0,0.662842945,-0.08677143,3.702408669,0,2.568201724,T
35,Molecule35,0,0,0,0,0,-0.403955388,3.355943011,0,0.139879086,T
36,Molecule36,1.485436023,23.54220399,0.142857149,0,0.200482513,-0.235995766,3.333275361,0,1.10720997,T
37,Molecule37,0,11.771102,0.071428575,0,0,-0.353035,3.257354365,0,1.86923172,T
39,Molecule39,3.391448871,0,0,0,0.43875,-0.157575758,3.584678531,0,2.564666064,T
40,Molecule40,4.436360948,0,0.030972223,1.090199396,0.986175746,0.139959753,3.958456691,0.5,2.463892989,T
41,Molecule41,4.436459416,0,0.030972223,0.840926864,0.976111376,0.139959753,3.958346779,0.5,2.758154622,T
43,Molecule43,4.307775556,5.243428095,0.036527778,0.472636191,0.939181751,0.111221118,3.925950627,0.5,2.85672889,T
46,Molecule46,4.03048342,0,0.036805556,0.312694234,0.976142993,0.177598453,3.905851375,0.5,2.905256049,T
47,Molecule47,4.292965357,0,0.024305556,0.64998517,0.992088565,0.159646342,3.95605375,0.5,2.895974732,T
49,Molecule49,4.371668055,0,0.03576389,0.836706521,0.97580249,0.147201105,3.957195083,0.5,2.716837723,T
50,Molecule50,4.371780124,0,0.03576389,1.020760292,0.964562458,0.147201105,3.957086141,0.5,2.777426822,T
51,Molecule51,4.017097929,0,0.038392857,0.965638699,0.990333707,0.125584407,3.958095163,0.5,2.117271296,T
53,Molecule53,4.056611091,0,0.042708334,0.708066058,0.963692834,0.1159375,3.945523932,0.5,3.003891166,T
54,Molecule54,3.992606523,5.243428095,0.043472222,0.159941957,0.938312128,0.079957512,3.914388417,0.5,3.274619619,T
55,Molecule55,3.977796325,0,0.03125,0.337290936,0.991218942,0.128382737,3.94449154,0.5,3.274619619,T
56,Molecule56,4.121388833,0,0.037916667,0.30388735,0.965177383,0.108696147,3.946674607,0.5,3.199206479,T
